,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",rating_category,institution,perception
2484,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
2486,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2488,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2490,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2491,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
2492,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2495,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
2496,10.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2497,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2498,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
2499,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2500,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2503,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
2504,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2507,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
2508,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2510,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2514,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2522,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2523,2.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
2526,4.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2527,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2528,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2531,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2533,3.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2534,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2535,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2536,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
2539,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2541,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2544,3.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
2545,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2546,4.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2550,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2551,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2552,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
2553,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
2555,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
2556,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
